 PA ;     CONTA        ;      OCG      ;      SAP      ;   DIFERENCA                 
  15;1612010 987       ; 10.719.839,52 ; 10.719.478,56 ;        360,96               
  15;1612010 988       ;    459.913,61 ;    459.913,61 ;          0,00               
  15;1612010 989       ;     36.521,55 ;     36.521,55 ;          0,00               
  15;1612010 990       ;    180.109,79 ;    180.109,79 ;          0,00               
  15;1612010 991       ;     18.704,16 ;     18.704,16 ;          0,00               
  15;1612010 992       ;      3.991,25 ;      3.991,25 ;          0,00               
  15;1612010 995       ;    274.463,11 ;    274.463,11 ;          0,00               
  15;1612010 996       ;    913.446,00 ;    912.769,83 ;        676,17               
  15;1612010 997       ;      1.403,90 ;      1.403,90 ;          0,00               
  15;1612040 980       ;    254.382,29 ;    254.382,29 ;          0,00               
  15;1612040 981       ;    251.583,77 ;    251.583,77 ;          0,00               
  15;1612040 982       ;    344.831,43 ;    344.831,43 ;          0,00               
  15;1612040 983       ;      6.636,72 ;      6.636,72 ;          0,00               
  15;1612040 985       ;     12.415,04 ;     12.415,04 ;          0,00               
  15;1612040 997       ;  1.507.409,26 ;  1.507.409,26 ;          0,00               
  15;1612040 999       ;    966.393,92 ;    966.393,92 ;          0,00               
  15;1612060 997       ;     62.431,64 ;     62.431,64 ;          0,00               
  15;1612099 961       ;    157.396,91 ;    157.396,91 ;          0,00               
  15;  SUBTOTAIS       ; 16.171.873,87 ; 16.170.836,74 ;      1.037,13               
  15;     TOTAIS       ; 36.722.993,32 ; 36.720.244,85 ;      2.748,47               
                                                                                     
  18;1612010 131       ; 11.990.940,59 ; 11.991.065,68 ;        125,09-              
  18;1612010 133       ;  2.744.279,13 ;  2.744.381,09 ;        101,96-              
  18;1612010 134       ;  1.370.230,10 ;  1.369.061,40 ;      1.168,70               
  18;1612010 135       ;    189.581,36 ;    189.581,36 ;          0,00               
  18;1612010 136       ;    106.872,10 ;    106.872,10 ;          0,00               
  18;1612010 137       ;    142.658,01 ;    142.658,01 ;          0,00               
  18;1612010 138       ;    143.688,70 ;    141.549,48 ;      2.139,22               
  18;1612040 001       ;    196.586,51 ;    196.586,51 ;          0,00               
  18;1612040 003       ;    699.329,70 ;    699.329,70 ;          0,00               
  18;1612040 035       ;    498.815,79 ;    499.248,88 ;        433,09-              
  18;1612040 038       ;  1.009.494,40 ;  1.009.324,17 ;        170,23               
  18;1612040 039       ;    611.698,04 ;    611.648,80 ;         49,24               
  18;1612099 174       ;    176.364,53 ;    176.364,53 ;          0,00               
  18;1612099 194       ;    175.959,30 ;    175.959,30 ;          0,00               
  18;  SUBTOTAIS       ; 20.056.498,26 ; 20.053.631,01 ;      2.867,25               
  18;1612010 987       ;  4.893.218,45 ;  4.892.219,59 ;        998,86               
  18;1612010 988       ;    213.923,99 ;    213.923,99 ;          0,00               
  18;1612010 989       ;     20.530,47 ;     20.530,47 ;          0,00               
  18;1612010 990       ;     11.050,46 ;     11.050,46 ;          0,00               
  18;1612010 991       ;     10.362,59 ;     10.362,59 ;          0,00               
  18;1612010 992       ;      2.849,49 ;      2.849,49 ;          0,00               
  18;1612010 995       ;  1.407.366,62 ;  1.404.214,01 ;      3.152,61               
  18;1612010 996       ;    682.336,56 ;    682.288,30 ;         48,26               
  18;1612040 980       ;     61.313,43 ;     61.313,43 ;          0,00               
  18;1612040 981       ;     34.436,10 ;     34.436,10 ;          0,00               
  18;1612040 982       ;     87.080,99 ;     87.080,99 ;          0,00               
  18;1612040 998       ;     28.564,61 ;     28.564,61 ;          0,00               
  18;1612040 999       ;    218.804,02 ;    218.804,02 ;          0,00               
  18;1612099 961       ;     60.280,67 ;     60.280,67 ;          0,00               
  18;1612099 935       ;     82.237,13 ;     82.237,13 ;          0,00               
  18;  SUBTOTAIS       ;  7.814.355,58 ;  7.810.155,85 ;      4.199,73               
  18;     TOTAIS       ; 12.242.142,68 ; 12.243.475,16 ;      1.332,48-              
                                                                                     
  22;1612010 131       ; 28.347.121,05 ; 28.336.596,43 ;     10.524,62               
  22;1612010 133       ; 13.589.940,62 ; 13.580.108,25 ;      9.832,37               
  22;1612010 134       ;  1.325.229,14 ;  1.335.364,23 ;     10.135,09-              
  22;1612010 135       ;    103.983,00 ;    103.983,00 ;          0,00               
  22;1612010 137       ;    133.986,87 ;    133.986,87 ;          0,00               
  22;1612010 138       ;    134.842,91 ;    134.607,64 ;        235,27               
  22;1612010 141       ;     12.310,43 ;     12.310,43 ;          0,00               
  22;1612040 001       ;    573.675,40 ;    573.534,90 ;        140,50               
  22;1612040 003       ;  1.782.165,58 ;  1.782.165,58 ;          0,00               
  22;1612040 038       ;    957.213,41 ;    957.626,86 ;        413,45-              
  22;1612040 039       ;    459.174,70 ;    458.683,75 ;        490,95               
  22;1612040 046       ;    923.722,90 ;    923.722,90 ;          0,00               
  22;1612040 047       ;  6.693.830,02 ;  6.693.830,02 ;          0,00               
  22;1612040 050       ;    648.586,88 ;    648.586,88 ;          0,00               
  22;1612099 174       ;    263.794,88 ;    263.726,96 ;         67,92               
  22;  SUBTOTAIS       ; 55.949.577,79 ; 55.938.834,70 ;     10.743,09               
  22;1612010 987       ;  5.143.285,70 ;  5.143.226,31 ;         59,39               
  22;1612010 988       ;    228.202,55 ;    228.202,55 ;          0,00               
  22;1612010 989       ;      4.403,77 ;      4.403,77 ;          0,00               
  22;1612010 991       ;      7.994,70 ;      7.994,70 ;          0,00               
  22;1612010 992       ;      1.488,20 ;      1.488,20 ;          0,00               
  22;1612010 995       ;  5.300.797,41 ;  5.300.797,41 ;          0,00               
  22;1612010 996       ;  7.404.708,25 ;  7.402.663,28 ;      2.044,97               
  22;1612010 997       ;      1.389,47 ;      1.389,47 ;          0,00               
  22;1612040 980       ;     43.173,39 ;     43.173,39 ;          0,00               
  22;1612040 982       ;     12.020,69 ;     12.020,69 ;          0,00               
  22;1612040 999       ;     25.791,10 ;     25.791,10 ;          0,00               
  22;1612099 961       ;     88.716,15 ;     88.716,15 ;          0,00               
  22;  SUBTOTAIS       ; 18.261.971,38 ; 18.259.867,02 ;      2.104,36               
  22;     TOTAIS       ; 37.687.606,41 ; 37.678.967,68 ;      8.638,73               
                                                                                     
  23;1612010 131       ; 15.049.789,30 ; 15.066.682,27 ;     16.892,97-              
  23;1612010 133       ;  1.413.166,20 ;  1.414.181,66 ;      1.015,46-              
  23;1612010 134       ;    247.543,56 ;    248.288,03 ;        744,47-              
  23;1612010 135       ;     60.775,76 ;     60.767,03 ;          8,73               
  23;1612010 136       ;     12.260,84 ;     12.260,84 ;          0,00               
  23;1612010 137       ;    187.636,99 ;    187.636,99 ;          0,00               
  23;1612010 138       ;     85.527,62 ;     85.386,54 ;        141,08               
  23;1612040 003       ;  1.027.098,41 ;  1.027.589,72 ;        491,31-              
  23;1612040 038       ;  1.068.719,34 ;  1.068.486,79 ;        232,55               
  23;1612040 039       ;    576.356,90 ;    576.183,37 ;        173,53               
  23;1612099 174       ;    549.703,01 ;    549.607,95 ;         95,06               
  23;1612099 196       ;     25.343,12 ;     25.343,12 ;          0,00               
  23;  SUBTOTAIS       ; 20.303.921,05 ; 20.322.414,31 ;     18.493,26-              
  23;1612010 987       ;    669.855,54 ;    669.855,54 ;          0,00               
  23;1612010 988       ;     39.244,81 ;     39.244,81 ;          0,00               
  23;1612010 989       ;      3.935,29 ;      3.935,29 ;          0,00               
  23;1612010 990       ;        878,92 ;        878,92 ;          0,00               
  23;1612010 991       ;     10.355,35 ;     10.355,35 ;          0,00               
  23;1612010 992       ;      1.310,70 ;      1.310,70 ;          0,00               
  23;1612010 995       ;    432.658,33 ;    432.658,33 ;          0,00               
  23;1612010 996       ;  6.364.279,81 ;  6.375.358,96 ;     11.079,15-              
  23;1612040 980       ;    115.935,05 ;    115.935,05 ;          0,00               
  23;1612040 982       ;    221.311,61 ;    221.311,61 ;          0,00               
  23;1612040 999       ;    281.460,95 ;    281.460,95 ;          0,00               
  23;1612099 961       ;    255.230,64 ;    255.230,64 ;          0,00               
  23;1612099 933       ;     10.240,03 ;     10.240,03 ;          0,00               
  23;  SUBTOTAIS       ;  8.406.697,03 ;  8.417.776,18 ;     11.079,15-              
  23;     TOTAIS       ; 11.897.224,02 ; 11.904.638,13 ;      7.414,11-              
                                                                                     
  24;1612010 131       ; 41.018.450,28 ; 41.014.572,31 ;      3.877,97               
  24;1612010 133       ;  1.852.584,16 ;  1.852.274,34 ;        309,82               
  24;1612010 134       ;  4.248.126,91 ;  4.255.453,05 ;      7.326,14-              
  24;1612010 135       ;    607.936,82 ;    607.322,26 ;        614,56               
  24;1612010 136       ;  2.050.136,45 ;  2.046.341,28 ;      3.795,17               
  24;1612010 137       ;    438.123,55 ;    442.504,05 ;      4.380,50-              
  24;1612010 138       ;    482.552,13 ;    473.892,53 ;      8.659,60               
  24;1612010 140       ;      1.643,92 ;      1.643,92 ;          0,00               
  24;1612010 141       ;     12.433,23 ;     12.433,23 ;          0,00               
  24;1612040 001       ;    270.204,44 ;    270.173,18 ;         31,26               
  24;1612040 003       ;    494.330,92 ;    494.330,92 ;          0,00               
  24;1612040 032       ;     10.750,90 ;     10.750,90 ;          0,00               
  24;1612040 035       ;    448.236,11 ;    448.236,11 ;          0,00               
  24;1612040 038       ;  9.418.648,49 ;  9.408.495,49 ;     10.153,00               
  24;1612040 039       ;  6.609.161,15 ;  6.604.940,54 ;      4.220,61               
  24;1612099 174       ;    988.167,70 ;    988.177,86 ;         10,16-              
  24;1612099 194       ;    299.651,52 ;    296.126,18 ;      3.525,34               
  24;  SUBTOTAIS       ; 69.251.138,68 ; 69.227.668,15 ;     23.470,53               
  24;1612010 987       ; 17.662.173,83 ; 17.660.815,50 ;      1.358,33               
  24;1612010 988       ;    681.687,94 ;    681.687,94 ;          0,00               
  24;1612010 989       ;     57.260,36 ;     57.260,36 ;          0,00               
  24;1612010 990       ;    704.409,05 ;    704.409,05 ;          0,00               
  24;1612010 991       ;     33.389,79 ;     33.389,79 ;          0,00               
  24;1612010 992       ;     10.214,57 ;     10.214,57 ;          0,00               
  24;1612010 994       ;         79,94 ;         79,94 ;          0,00               
  24;1612010 995       ;    761.409,52 ;    761.162,02 ;        247,50               
  24;1612010 996       ;  1.271.261,37 ;  1.270.663,64 ;        597,73               
  24;1612010 997       ;      1.483,54 ;      1.483,54 ;          0,00               
  24;1612040 980       ;    706.865,61 ;    706.865,61 ;          0,00               
  24;1612040 981       ;     47.958,44 ;     47.958,44 ;          0,00               
  24;1612040 982       ;    899.552,82 ;    899.459,94 ;         92,88               
  24;1612040 985       ;        597,78 ;        597,78 ;          0,00               
  24;1612040 999       ;     76.779,67 ;     76.779,67 ;          0,00               
  24;1612099 961       ;    343.429,16 ;    343.429,16 ;          0,00               
  24;1612099 935       ;    141.652,08 ;    141.652,08 ;          0,00               
  24;  SUBTOTAIS       ; 23.400.205,47 ; 23.397.909,03 ;      2.296,44               
  24;     TOTAIS       ; 45.850.933,21 ; 45.829.759,12 ;     21.174,09               
                                                                                     
  25;1612010 131       ; 28.874.018,80 ; 28.880.817,85 ;      6.799,05-              
  25;1612010 133       ;  2.998.825,84 ;  2.998.827,57 ;          1,73-              
  25;1612010 134       ;  4.141.330,15 ;  4.137.265,61 ;      4.064,54               
  25;1612010 135       ;    877.008,77 ;    876.760,34 ;        248,43               
  25;1612010 136       ;  1.203.294,75 ;  1.201.355,45 ;      1.939,30               
  25;1612010 137       ;    639.959,20 ;    651.939,19 ;     11.979,99-              
  25;1612010 138       ;    520.675,55 ;    511.502,45 ;      9.173,10               
  25;1612010 141       ;     25.232,18 ;     25.232,18 ;          0,00               
  25;1612040 037       ;    140.022,55 ;    140.022,55 ;          0,00               
  25;1612040 038       ;  5.166.877,19 ;  5.165.791,69 ;      1.085,50               
  25;1612040 039       ;  2.537.005,44 ;  2.534.511,95 ;      2.493,49               
  25;1612040 050       ;    437.128,96 ;    437.128,96 ;          0,00               
  25;1612099 174       ;  2.611.651,66 ;  2.610.743,66 ;        908,00               
  25;  SUBTOTAIS       ; 50.173.031,04 ; 50.171.899,45 ;      1.131,59               
  25;1612010 987       ; 10.674.476,84 ; 10.687.333,85 ;     12.857,01-              
  25;1612010 988       ;    608.651,80 ;    608.651,80 ;          0,00               
  25;1612010 989       ;     85.211,63 ;     85.211,63 ;          0,00               
  25;1612010 990       ;    212.306,19 ;    212.306,19 ;          0,00               
  25;1612010 991       ;     47.126,07 ;     47.126,07 ;          0,00               
  25;1612010 992       ;     10.296,78 ;     10.310,80 ;         14,02-              
  25;1612010 995       ;  1.287.015,40 ;  1.286.660,71 ;        354,69               
  25;1612010 996       ;    738.576,83 ;    740.249,48 ;      1.672,65-              
  25;1612010 997       ;      3.445,92 ;      3.445,92 ;          0,00               
  25;1612040 978       ;      4.189,57 ;      4.189,57 ;          0,00               
  25;1612040 980       ;    355.383,74 ;    355.383,74 ;          0,00               
  25;1612040 982       ;    815.858,13 ;    815.858,13 ;          0,00               
  25;1612099 961       ;    921.625,26 ;    921.353,69 ;        271,57               
  25;  SUBTOTAIS       ; 15.764.164,16 ; 15.778.081,58 ;     13.917,42-              
  25;     TOTAIS       ; 34.408.866,88 ; 34.393.817,87 ;     15.049,01               
                                                                                     
  26;1612010 131       ; 39.718.530,03 ; 39.706.254,13 ;     12.275,90               
  26;1612010 133       ;  2.727.315,75 ;  2.726.806,29 ;        509,46               
  26;1612010 134       ;  4.709.253,89 ;  4.717.382,68 ;      8.128,79-              
  26;1612010 135       ;    906.259,03 ;    906.231,86 ;         27,17               
  26;1612010 136       ;    755.211,80 ;    753.676,58 ;      1.535,22               
  26;1612010 137       ;    784.192,76 ;    797.545,60 ;     13.352,84-              
  26;1612010 138       ;    563.173,65 ;    554.666,95 ;      8.506,70               
  26;1612010 141       ;     10.610,60 ;     10.610,60 ;          0,00               
  26;1612040 001       ;    875.957,76 ;    875.957,76 ;          0,00               
  26;1612040 003       ;  3.278.239,24 ;  3.278.239,24 ;          0,00               
  26;1612040 035       ;    128.780,80 ;    128.707,74 ;         73,06               
  26;1612040 038       ;  4.135.168,26 ;  4.135.093,54 ;         74,72               
  26;1612040 039       ;  1.802.994,05 ;  1.801.877,81 ;      1.116,24               
  26;1612040 046       ;  6.919.206,06 ;  6.919.206,06 ;          0,00               
  26;1612040 047       ;  1.783.470,52 ;  1.783.470,52 ;          0,00               
  26;1612040 049       ;    750.841,38 ;    750.841,38 ;          0,00               
  26;1612040 050       ;    430.495,26 ;    430.495,26 ;          0,00               
  26;1612099 174       ;  2.704.675,17 ;  2.704.638,49 ;         36,68               
  26;  SUBTOTAIS       ; 72.984.376,01 ; 72.981.702,49 ;      2.673,52               
  26;1612010 987       ; 16.544.909,78 ; 16.544.326,26 ;        583,52               
  26;1612010 988       ;    795.951,62 ;    795.951,62 ;          0,00               
  26;1612010 989       ;     86.889,48 ;     86.906,72 ;         17,24-              
  26;1612010 990       ;     94.896,04 ;     94.896,04 ;          0,00               
  26;1612010 991       ;     57.292,21 ;     57.716,54 ;        424,33-              
  26;1612010 992       ;     13.051,98 ;     13.051,98 ;          0,00               
  26;1612010 995       ;  1.161.867,90 ;  1.161.770,98 ;         96,92               
  26;1612010 996       ;  1.078.849,56 ;  1.078.866,20 ;         16,64-              
  26;1612010 997       ;      1.762,38 ;      1.762,38 ;          0,00               
