 PA ;     CONTA        ;      OCG      ;      SAP      ;   DIFERENCA                 
  11;1612010 131       ; 13.917.558,83 ; 13.912.002,99 ;      5.555,84               
  11;1612010 133       ;  1.667.164,64 ;  1.666.820,35 ;        344,29               
  11;1612010 134       ;    933.647,21 ;    937.289,36 ;      3.642,15-              
  11;1612010 135       ;    256.846,37 ;    256.846,37 ;          0,00               
  11;1612010 136       ;    639.905,67 ;    639.905,67 ;          0,00               
  11;1612010 137       ;    149.784,62 ;    151.767,20 ;      1.982,58-              
  11;1612010 138       ;    138.264,81 ;    137.285,86 ;        978,95               
  11;1612040 003       ;  3.612.589,55 ;  3.613.283,71 ;        694,16-              
  11;1612040 035       ;    209.035,73 ;    209.035,73 ;          0,00               
  11;1612040 038       ;  3.840.208,15 ;  3.843.686,78 ;      3.478,63-              
  11;1612040 039       ;  3.356.656,55 ;  3.356.333,50 ;        323,05               
  11;1612099 025       ;     43.530,10 ;     43.530,10 ;          0,00               
  11;1612099 174       ;    481.318,39 ;    481.318,39 ;          0,00               
  11;  SUBTOTAIS       ; 29.246.510,62 ; 29.249.106,01 ;      2.595,39-              
  11;1612010 987       ;  5.886.611,96 ;  5.886.443,62 ;        168,34               
  11;1612010 988       ;    164.075,74 ;    164.075,74 ;          0,00               
  11;1612010 989       ;     24.487,17 ;     24.487,17 ;          0,00               
  11;1612010 990       ;    186.754,56 ;    186.754,56 ;          0,00               
  11;1612010 991       ;     11.340,44 ;     11.340,44 ;          0,00               
  11;1612010 992       ;      3.895,50 ;      3.895,50 ;          0,00               
  11;1612010 995       ;    629.604,48 ;    629.513,10 ;         91,38               
  11;1612010 996       ;  1.073.392,87 ;  1.073.157,77 ;        235,10               
  11;1612040 980       ;    610.788,39 ;    610.788,39 ;          0,00               
  11;1612040 981       ;     15.824,50 ;     15.824,50 ;          0,00               
  11;1612040 982       ;    569.872,45 ;    569.872,45 ;          0,00               
  11;1612040 999       ;  1.016.051,46 ;  1.016.051,46 ;          0,00               
  11;1612099 961       ;    214.777,43 ;    214.777,43 ;          0,00               
  11;1612099 999       ;     19.012,09 ;     19.012,09 ;          0,00               
  11;  SUBTOTAIS       ; 10.426.489,04 ; 10.425.994,22 ;        494,82               
  11;     TOTAIS       ; 18.820.021,58 ; 18.823.111,79 ;      3.090,21-              
                                                                                     
  13;1612010 131       ; 35.029.173,40 ; 35.032.655,01 ;      3.481,61-              
  13;1612010 133       ;    704.799,51 ;    704.882,95 ;         83,44-              
  13;1612010 134       ;  3.122.857,48 ;  3.135.410,90 ;     12.553,42-              
  13;1612010 135       ;    709.002,19 ;    708.813,33 ;        188,86               
  13;1612010 136       ;    714.221,92 ;    713.470,13 ;        751,79               
  13;1612010 137       ;    553.488,24 ;    555.350,53 ;      1.862,29-              
  13;1612010 138       ;    504.732,22 ;    500.618,02 ;      4.114,20               
  13;1612010 141       ;      7.114,19 ;      7.114,19 ;          0,00               
  13;1612040 001       ;    621.473,79 ;    621.473,79 ;          0,00               
  13;1612040 003       ;  1.590.654,39 ;  1.590.184,76 ;        469,63               
  13;1612040 035       ;    418.432,45 ;    418.432,45 ;          0,00               
  13;1612040 038       ;  3.654.033,42 ;  3.651.583,92 ;      2.449,50               
  13;1612040 039       ;  1.109.640,47 ;  1.109.426,54 ;        213,93               
  13;1612040 046       ;  4.183.462,42 ;  4.183.462,42 ;          0,00               
  13;1612060 139       ;    181.169,40 ;    181.169,40 ;          0,00               
  13;1612099 174       ;  2.733.884,67 ;  2.739.909,63 ;      6.024,96-              
  13;  SUBTOTAIS       ; 55.838.140,16 ; 55.853.957,97 ;     15.817,81-              
  13;1612010 987       ; 15.873.235,51 ; 15.864.403,83 ;      8.831,68               
  13;1612010 988       ;    513.592,00 ;    513.592,00 ;          0,00               
  13;1612010 989       ;     66.203,33 ;     66.203,33 ;          0,00               
  13;1612010 990       ;    113.616,91 ;    113.616,91 ;          0,00               
  13;1612010 991       ;     39.764,73 ;     39.764,73 ;          0,00               
  13;1612010 992       ;     14.859,45 ;     14.859,45 ;          0,00               
