 PA ;     CONTA        ;      OCG      ;      SAP      ;   DIFERENCA                 
  11;1612010 131       ; 13.998.803,23 ; 13.991.837,23 ;      6.966,00               
  11;1612010 133       ;  1.663.401,67 ;  1.663.243,73 ;        157,94               
  11;1612010 134       ;    954.412,38 ;    958.054,53 ;      3.642,15-              
  11;1612010 135       ;    260.623,43 ;    260.596,41 ;         27,02               
  11;1612010 136       ;    637.590,47 ;    637.814,01 ;        223,54-              
  11;1612010 137       ;    149.784,62 ;    151.767,20 ;      1.982,58-              
  11;1612010 138       ;    164.628,89 ;    163.775,80 ;        853,09               
  11;1612040 003       ;  3.576.118,78 ;  3.576.812,94 ;        694,16-              
  11;1612040 035       ;    209.035,73 ;    209.035,73 ;          0,00               
  11;1612040 038       ;  3.838.610,35 ;  3.841.001,67 ;      2.391,32-              
  11;1612040 039       ;  3.338.663,68 ;  3.338.259,77 ;        403,91               
  11;1612099 025       ;     43.532,05 ;     43.532,05 ;          0,00               
  11;1612099 174       ;    481.325,53 ;    481.325,53 ;          0,00               
  11;  SUBTOTAIS       ; 29.316.530,81 ; 29.317.056,60 ;        525,79-              
  11;1612010 987       ;  5.931.086,91 ;  5.930.933,15 ;        153,76               
  11;1612010 988       ;    169.841,78 ;    169.841,78 ;          0,00               
  11;1612010 989       ;     24.603,20 ;     24.603,20 ;          0,00               
  11;1612010 990       ;    186.754,56 ;    186.754,56 ;          0,00               
  11;1612010 991       ;     11.340,44 ;     11.340,44 ;          0,00               
  11;1612010 992       ;      5.351,91 ;      5.351,91 ;          0,00               
  11;1612010 995       ;    629.275,81 ;    629.184,43 ;         91,38               
  11;1612010 996       ;  1.073.520,31 ;  1.073.285,21 ;        235,10               
  11;1612040 980       ;    608.723,60 ;    608.723,60 ;          0,00               
  11;1612040 981       ;     15.824,50 ;     15.824,50 ;          0,00               
  11;1612040 982       ;    568.496,70 ;    568.496,70 ;          0,00               
  11;1612040 999       ;    998.404,31 ;    998.404,31 ;          0,00               
  11;1612099 961       ;    214.627,13 ;    214.627,13 ;          0,00               
  11;1612099 999       ;     18.948,27 ;     18.948,27 ;          0,00               
  11;  SUBTOTAIS       ; 10.456.799,43 ; 10.456.319,19 ;        480,24               
  11;     TOTAIS       ; 18.859.731,38 ; 18.860.737,41 ;      1.006,03-              
                                                                                     
  13;1612010 131       ; 35.042.788,06 ; 35.047.140,70 ;      4.352,64-              
  13;1612010 133       ;    703.050,76 ;    703.134,20 ;         83,44-              
  13;1612010 134       ;  3.177.824,16 ;  3.192.859,87 ;     15.035,71-              
  13;1612010 135       ;    726.128,76 ;    726.539,01 ;        410,25-              
  13;1612010 136       ;    713.943,52 ;    713.191,73 ;        751,79               
  13;1612010 137       ;    553.488,24 ;    555.350,53 ;      1.862,29-              
  13;1612010 138       ;    620.626,46 ;    616.914,64 ;      3.711,82               
  13;1612010 141       ;      7.118,01 ;      7.118,01 ;          0,00               
  13;1612040 001       ;    621.473,79 ;    621.473,79 ;          0,00               
  13;1612040 003       ;  1.590.654,39 ;  1.590.184,76 ;        469,63               
  13;1612040 035       ;    418.432,45 ;    418.432,45 ;          0,00               
  13;1612040 038       ;  3.620.723,64 ;  3.619.224,80 ;      1.498,84               
  13;1612040 039       ;  1.106.856,18 ;  1.106.675,72 ;        180,46               
  13;1612040 046       ;  4.153.944,59 ;  4.153.944,59 ;          0,00               
  13;1612060 139       ;    181.169,40 ;    181.169,40 ;          0,00               
  13;1612099 174       ;  2.733.953,69 ;  2.739.978,65 ;      6.024,96-              
  13;  SUBTOTAIS       ; 55.972.176,10 ; 55.993.332,85 ;     21.156,75-              
  13;1612010 987       ; 15.877.580,59 ; 15.868.748,91 ;      8.831,68               
  13;1612010 988       ;    528.649,32 ;    528.649,32 ;          0,00               
  13;1612010 989       ;     68.382,79 ;     68.382,79 ;          0,00               
  13;1612010 990       ;    113.616,91 ;    113.616,91 ;          0,00               
  13;1612010 991       ;     39.764,73 ;     39.764,73 ;          0,00               
  13;1612010 992       ;     20.540,40 ;     20.540,40 ;          0,00               
  13;1612010 995       ;    332.269,18 ;    332.269,18 ;          0,00               
  13;1612010 996       ;    608.470,66 ;    607.622,40 ;        848,26               
  13;1612010 997       ;        376,98 ;        376,98 ;          0,00               
  13;1612040 971       ;  1.753.944,59 ;  1.753.944,59 ;          0,00               
  13;1612040 980       ;    104.736,47 ;    104.736,47 ;          0,00               
  13;1612040 981       ;      2.297,66 ;      2.297,66 ;          0,00               
  13;1612040 982       ;    260.107,97 ;    260.107,97 ;          0,00               
  13;1612040 998       ;     60.201,91 ;     60.201,91 ;          0,00               
  13;1612040 999       ;      3.325,89 ;      4.959,17 ;      1.633,28-              
  13;1612099 961       ;  1.149.376,92 ;  1.149.376,92 ;          0,00               
  13;  SUBTOTAIS       ; 20.923.642,97 ; 20.915.596,31 ;      8.046,66               
  13;     TOTAIS       ; 35.048.533,13 ; 35.077.736,54 ;     29.203,41-              
                                                                                     
  15;1612010 131       ; 26.630.471,54 ; 26.633.508,08 ;      3.036,54-              
  15;1612010 133       ;    729.402,14 ;    730.160,48 ;        758,34-              
  15;1612010 134       ;  2.648.284,67 ;  2.638.553,46 ;      9.731,21               
  15;1612010 135       ;    443.970,30 ;    444.145,20 ;        174,90-              
  15;1612010 136       ;    502.704,35 ;    503.021,96 ;        317,61-              
  15;1612010 137       ;    328.693,09 ;    333.136,62 ;      4.443,53-              
  15;1612010 138       ;    364.950,68 ;    363.085,88 ;      1.864,80               
  15;1612010 141       ;     12.404,89 ;     12.398,13 ;          6,76               
  15;1612040 002       ;  6.370.487,12 ;  6.370.487,12 ;          0,00               
  15;1612040 003       ;  9.183.805,50 ;  9.183.805,71 ;          0,21-              
  15;1612040 032       ;    264.257,08 ;    264.257,08 ;          0,00               
  15;1612040 034       ;    362.281,44 ;    362.281,44 ;          0,00               
  15;1612040 035       ;  1.005.426,98 ;  1.005.426,98 ;          0,00               
  15;1612040 038       ;  1.819.241,15 ;  1.816.272,14 ;      2.969,01               
  15;1612040 039       ;  1.263.113,03 ;  1.263.128,99 ;         15,96-              
  15;1612060 139       ;    543.149,67 ;    543.149,67 ;          0,00               
  15;1612099 174       ;    411.735,25 ;    411.735,25 ;          0,00               
  15;  SUBTOTAIS       ; 52.884.378,88 ; 52.878.554,19 ;      5.824,69               
  15;1612010 987       ; 10.746.386,96 ; 10.746.026,00 ;        360,96               
  15;1612010 988       ;    462.511,37 ;    462.511,37 ;          0,00               
  15;1612010 989       ;     38.401,48 ;     38.401,48 ;          0,00               
  15;1612010 990       ;    183.540,31 ;    183.540,31 ;          0,00               
  15;1612010 991       ;     18.821,04 ;     18.821,04 ;          0,00               
  15;1612010 992       ;     11.818,44 ;     11.818,44 ;          0,00               
  15;1612010 995       ;    274.195,91 ;    274.195,91 ;          0,00               
  15;1612010 996       ;    911.787,73 ;    911.093,92 ;        693,81               
  15;1612010 997       ;      1.392,55 ;      1.392,55 ;          0,00               
  15;1612040 980       ;    251.389,24 ;    251.389,24 ;          0,00               
  15;1612040 981       ;    250.780,87 ;    250.780,87 ;          0,00               
  15;1612040 982       ;    343.275,42 ;    343.275,42 ;          0,00               
  15;1612040 983       ;      6.636,72 ;      6.636,72 ;          0,00               
  15;1612040 985       ;     12.415,04 ;     12.415,04 ;          0,00               
  15;1612040 997       ;  1.507.409,26 ;  1.507.409,26 ;          0,00               
  15;1612040 999       ;    966.393,92 ;    966.393,92 ;          0,00               
  15;1612060 997       ;     62.431,64 ;     62.431,64 ;          0,00               
  15;1612099 961       ;    156.720,43 ;    156.720,43 ;          0,00               
  15;  SUBTOTAIS       ; 16.206.308,33 ; 16.205.253,56 ;      1.054,77               
  15;     TOTAIS       ; 36.678.070,55 ; 36.673.300,63 ;      4.769,92               
                                                                                     
  18;1612010 131       ; 12.043.610,97 ; 12.043.277,46 ;        333,51               
  18;1612010 133       ;  2.743.300,00 ;  2.743.138,87 ;        161,13               
  18;1612010 134       ;  1.275.983,02 ;  1.272.007,35 ;      3.975,67               
  18;1612010 135       ;    211.464,14 ;    211.464,14 ;          0,00               
  18;1612010 136       ;    106.872,10 ;    106.872,10 ;          0,00               
  18;1612010 137       ;    137.847,77 ;    138.977,42 ;      1.129,65-              
  18;1612010 138       ;    183.089,40 ;    181.710,26 ;      1.379,14               
  18;1612040 001       ;    196.586,51 ;    196.586,51 ;          0,00               
  18;1612040 003       ;    699.329,70 ;    699.329,70 ;          0,00               
  18;1612040 035       ;    562.344,16 ;    562.749,87 ;        405,71-              
  18;1612040 038       ;  1.000.666,57 ;    999.875,08 ;        791,49               
  18;1612040 039       ;    596.317,69 ;    595.466,41 ;        851,28               
  18;1612099 174       ;    176.364,53 ;    176.364,53 ;          0,00               
  18;1612099 194       ;    175.978,58 ;    175.978,58 ;          0,00               
  18;  SUBTOTAIS       ; 20.109.755,14 ; 20.103.798,28 ;      5.956,86               
  18;1612010 987       ;  4.918.667,26 ;  4.917.670,36 ;        996,90               
  18;1612010 988       ;    221.469,62 ;    221.469,62 ;          0,00               
  18;1612010 989       ;     23.418,29 ;     23.418,29 ;          0,00               
  18;1612010 990       ;     11.050,46 ;     11.050,46 ;          0,00               
  18;1612010 991       ;     10.302,58 ;     10.302,58 ;          0,00               
  18;1612010 992       ;      5.593,29 ;      5.593,29 ;          0,00               
  18;1612010 995       ;  1.406.958,36 ;  1.403.805,75 ;      3.152,61               
  18;1612010 996       ;    681.480,27 ;    681.432,01 ;         48,26               
  18;1612040 980       ;     60.764,90 ;     60.764,90 ;          0,00               
  18;1612040 981       ;     34.097,69 ;     34.097,69 ;          0,00               
  18;1612040 982       ;     86.615,42 ;     86.615,42 ;          0,00               
  18;1612040 998       ;     28.564,61 ;     28.564,61 ;          0,00               
  18;1612040 999       ;    218.804,02 ;    218.804,02 ;          0,00               
  18;1612099 961       ;     60.280,67 ;     60.280,67 ;          0,00               
  18;1612099 935       ;     81.836,80 ;     81.836,80 ;          0,00               
  18;  SUBTOTAIS       ;  7.849.904,24 ;  7.845.706,47 ;      4.197,77               
  18;     TOTAIS       ; 12.259.850,90 ; 12.258.091,81 ;      1.759,09               
                                                                                     
  22;1612010 131       ; 28.479.964,81 ; 28.471.879,45 ;      8.085,36               
  22;1612010 133       ; 13.585.580,52 ; 13.575.748,15 ;      9.832,37               
  22;1612010 134       ;  1.323.143,18 ;  1.332.491,63 ;      9.348,45-              
  22;1612010 135       ;    104.993,60 ;    104.993,60 ;          0,00               
  22;1612010 137       ;    133.048,38 ;    133.048,38 ;          0,00               
  22;1612010 138       ;    159.986,03 ;    160.019,66 ;         33,63-              
  22;1612010 141       ;     12.310,43 ;     12.310,43 ;          0,00               
  22;1612040 001       ;    573.675,40 ;    573.534,90 ;        140,50               
  22;1612040 003       ;  1.766.917,61 ;  1.766.868,26 ;         49,35               
  22;1612040 038       ;    948.142,99 ;    948.506,66 ;        363,67-              
  22;1612040 039       ;    458.954,60 ;    458.758,86 ;        195,74               
  22;1612040 046       ;    923.722,90 ;    923.722,90 ;          0,00               
  22;1612040 047       ;  6.701.657,51 ;  6.701.657,51 ;          0,00               
  22;1612040 050       ;    648.586,88 ;    648.586,88 ;          0,00               
  22;1612099 174       ;    263.782,95 ;    263.715,03 ;         67,92               
  22;  SUBTOTAIS       ; 56.084.467,79 ; 56.075.842,30 ;      8.625,49               
  22;1612010 987       ;  5.157.364,13 ;  5.157.304,74 ;         59,39               
  22;1612010 988       ;    233.099,11 ;    233.099,11 ;          0,00               
  22;1612010 989       ;      4.438,51 ;      4.438,51 ;          0,00               
  22;1612010 991       ;      7.994,70 ;      7.994,70 ;          0,00               
  22;1612010 992       ;      2.924,68 ;      2.924,68 ;          0,00               
  22;1612010 995       ;  5.295.896,54 ;  5.295.896,54 ;          0,00               
  22;1612010 996       ;  7.460.236,84 ;  7.458.191,87 ;      2.044,97               
  22;1612010 997       ;      1.389,47 ;      1.389,47 ;          0,00               
  22;1612040 980       ;     42.358,56 ;     42.358,56 ;          0,00               
  22;1612040 982       ;     11.874,66 ;     11.874,66 ;          0,00               
  22;1612040 999       ;     25.791,10 ;     25.791,10 ;          0,00               
  22;1612099 961       ;     88.599,21 ;     88.599,21 ;          0,00               
  22;  SUBTOTAIS       ; 18.331.967,51 ; 18.329.863,15 ;      2.104,36               
  22;     TOTAIS       ; 37.752.500,28 ; 37.745.979,15 ;      6.521,13               
                                                                                     
  23;1612010 131       ; 15.217.767,01 ; 15.213.762,20 ;      4.004,81               
  23;1612010 133       ;  1.413.168,54 ;  1.414.184,00 ;      1.015,46-              
  23;1612010 134       ;    247.233,52 ;    247.977,99 ;        744,47-              
  23;1612010 135       ;     61.255,78 ;     61.327,87 ;         72,09-              
  23;1612010 136       ;     12.260,84 ;     12.260,84 ;          0,00               
  23;1612010 137       ;    187.636,99 ;    187.636,99 ;          0,00               
  23;1612010 138       ;     88.644,69 ;     88.503,61 ;        141,08               
  23;1612040 003       ;  1.027.223,60 ;  1.027.714,91 ;        491,31-              
  23;1612040 038       ;  1.151.138,49 ;  1.150.905,94 ;        232,55               
  23;1612040 039       ;    574.109,05 ;    574.109,05 ;          0,00               
  23;1612099 174       ;    549.835,68 ;    549.740,62 ;         95,06               
  23;1612099 196       ;     25.343,12 ;     25.343,12 ;          0,00               
  23;  SUBTOTAIS       ; 20.555.617,31 ; 20.553.467,14 ;      2.150,17               
  23;1612010 987       ;    668.765,84 ;    668.765,84 ;          0,00               
  23;1612010 988       ;     39.574,35 ;     39.574,35 ;          0,00               
  23;1612010 989       ;      4.004,11 ;      4.004,11 ;          0,00               
  23;1612010 990       ;        878,92 ;        878,92 ;          0,00               
  23;1612010 991       ;     10.355,35 ;     10.355,35 ;          0,00               
  23;1612010 992       ;      1.492,34 ;      1.492,34 ;          0,00               
  23;1612010 995       ;    432.628,35 ;    432.628,35 ;          0,00               
  23;1612010 996       ;  6.488.022,10 ;  6.489.675,53 ;      1.653,43-              
  23;1612040 980       ;    115.101,84 ;    115.101,84 ;          0,00               
  23;1612040 982       ;    252.941,95 ;    252.941,95 ;          0,00               
  23;1612040 999       ;    279.800,70 ;    279.800,70 ;          0,00               
  23;1612099 961       ;    253.940,20 ;    253.940,20 ;          0,00               
  23;1612099 933       ;     10.240,03 ;     10.240,03 ;          0,00               
  23;  SUBTOTAIS       ;  8.557.746,08 ;  8.559.399,51 ;      1.653,43-              
  23;     TOTAIS       ; 11.997.871,23 ; 11.994.067,63 ;      3.803,60               
                                                                                     
  24;1612010 131       ; 40.871.623,34 ; 40.867.247,11 ;      4.376,23               
  24;1612010 133       ;  1.850.996,08 ;  1.850.470,06 ;        526,02               
  24;1612010 134       ;  4.069.404,89 ;  4.066.414,36 ;      2.990,53               
  24;1612010 135       ;    631.389,32 ;    631.552,01 ;        162,69-              
  24;1612010 136       ;  1.706.276,80 ;  1.705.442,87 ;        833,93               
  24;1612010 137       ;    454.958,70 ;    459.339,20 ;      4.380,50-              
  24;1612010 138       ;    642.618,89 ;    638.016,16 ;      4.602,73               
  24;1612010 140       ;      1.643,92 ;      1.643,92 ;          0,00               
  24;1612010 141       ;     12.433,23 ;     12.433,23 ;          0,00               
  24;1612040 001       ;    270.204,44 ;    270.173,18 ;         31,26               
  24;1612040 003       ;    478.986,71 ;    478.986,71 ;          0,00               
  24;1612040 032       ;     10.750,90 ;     10.750,90 ;          0,00               
  24;1612040 035       ;    447.930,11 ;    446.593,43 ;      1.336,68               
  24;1612040 038       ;  9.500.129,00 ;  9.494.062,69 ;      6.066,31               
  24;1612040 039       ;  6.579.246,30 ;  6.579.031,39 ;        214,91               
  24;1612099 174       ;    988.197,84 ;    988.208,00 ;         10,16-              
  24;1612099 194       ;    294.300,60 ;    294.300,60 ;          0,00               
  24;  SUBTOTAIS       ; 68.811.091,07 ; 68.794.665,82 ;     16.425,25               
  24;1612010 987       ; 17.548.862,18 ; 17.547.453,73 ;      1.408,45               
  24;1612010 988       ;    710.829,46 ;    710.829,46 ;          0,00               
  24;1612010 989       ;     61.350,31 ;     61.350,31 ;          0,00               
  24;1612010 990       ;    468.101,06 ;    468.101,06 ;          0,00               
  24;1612010 991       ;     34.495,92 ;     34.495,92 ;          0,00               
  24;1612010 992       ;     21.697,78 ;     21.697,78 ;          0,00               
  24;1612010 994       ;         79,94 ;         79,94 ;          0,00               
  24;1612010 995       ;    760.419,98 ;    760.172,48 ;        247,50               
