 PA ;     CONTA        ;      OCG      ;      SAP      ;   DIFERENCA                 
  11;1612010 131       ; 13.918.856,76 ; 13.912.835,88 ;      6.020,88               
  11;1612010 133       ;  1.664.945,71 ;  1.664.610,07 ;        335,64               
  11;1612010 134       ;    943.822,01 ;    947.464,16 ;      3.642,15-              
  11;1612010 135       ;    258.936,63 ;    258.936,63 ;          0,00               
  11;1612010 136       ;    637.584,86 ;    637.808,40 ;        223,54-              
  11;1612010 137       ;    149.784,62 ;    151.767,20 ;      1.982,58-              
  11;1612010 138       ;    150.450,01 ;    149.576,05 ;        873,96               
  11;1612040 003       ;  3.612.589,55 ;  3.613.283,71 ;        694,16-              
  11;1612040 035       ;    209.035,73 ;    209.035,73 ;          0,00               
  11;1612040 038       ;  3.840.456,70 ;  3.843.935,33 ;      3.478,63-              
  11;1612040 039       ;  3.343.717,66 ;  3.343.394,61 ;        323,05               
  11;1612099 025       ;     43.530,58 ;     43.530,58 ;          0,00               
  11;1612099 174       ;    481.320,16 ;    481.320,16 ;          0,00               
  11;  SUBTOTAIS       ; 29.255.030,98 ; 29.257.498,51 ;      2.467,53-              
  11;1612010 987       ;  5.889.204,06 ;  5.889.050,30 ;        153,76               
  11;1612010 988       ;    166.505,70 ;    166.505,70 ;          0,00               
  11;1612010 989       ;     24.553,77 ;     24.553,77 ;          0,00               
  11;1612010 990       ;    186.754,56 ;    186.754,56 ;          0,00               
  11;1612010 991       ;     11.340,44 ;     11.340,44 ;          0,00               
  11;1612010 992       ;      4.578,00 ;      4.578,00 ;          0,00               
  11;1612010 995       ;    629.466,16 ;    629.374,78 ;         91,38               
  11;1612010 996       ;  1.072.272,66 ;  1.072.037,56 ;        235,10               
  11;1612040 980       ;    609.190,02 ;    609.190,02 ;          0,00               
  11;1612040 981       ;     15.824,50 ;     15.824,50 ;          0,00               
  11;1612040 982       ;    569.844,07 ;    569.844,07 ;          0,00               
  11;1612040 999       ;  1.016.051,46 ;  1.016.051,46 ;          0,00               
  11;1612099 961       ;    214.739,86 ;    214.739,86 ;          0,00               
  11;1612099 999       ;     18.996,14 ;     18.996,14 ;          0,00               
  11;  SUBTOTAIS       ; 10.429.321,40 ; 10.428.841,16 ;        480,24               
  11;     TOTAIS       ; 18.825.709,58 ; 18.828.657,35 ;      2.947,77-              
                                                                                     
  13;1612010 131       ; 34.988.650,48 ; 34.991.618,00 ;      2.967,52-              
  13;1612010 133       ;    704.800,37 ;    704.883,81 ;         83,44-              
  13;1612010 134       ;  3.148.497,57 ;  3.161.050,99 ;     12.553,42-              
  13;1612010 135       ;    717.542,11 ;    717.864,40 ;        322,29-              
  13;1612010 136       ;    713.909,42 ;    713.157,63 ;        751,79               
  13;1612010 137       ;    553.488,24 ;    555.350,53 ;      1.862,29-              
  13;1612010 138       ;    553.250,72 ;    549.139,39 ;      4.111,33               
  13;1612010 141       ;      7.115,14 ;      7.115,14 ;          0,00               
  13;1612040 001       ;    621.473,79 ;    621.473,79 ;          0,00               
  13;1612040 003       ;  1.590.654,39 ;  1.590.184,76 ;        469,63               
  13;1612040 035       ;    418.432,45 ;    418.432,45 ;          0,00               
  13;1612040 038       ;  3.651.601,60 ;  3.646.840,56 ;      4.761,04               
  13;1612040 039       ;  1.109.641,12 ;  1.109.427,19 ;        213,93               
  13;1612040 046       ;  4.183.462,42 ;  4.183.462,42 ;          0,00               
  13;1612060 139       ;    181.169,40 ;    181.169,40 ;          0,00               
